id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
85,32,JAWA BARAT,3203,KABUPATEN CIANJUR,50-54,LAKI-LAKI,71447,JIWA,2021
86,32,JAWA BARAT,3203,KABUPATEN CIANJUR,50-54,PEREMPUAN,68265,JIWA,2021
87,32,JAWA BARAT,3203,KABUPATEN CIANJUR,55-59,LAKI-LAKI,60670,JIWA,2021
88,32,JAWA BARAT,3203,KABUPATEN CIANJUR,55-59,PEREMPUAN,56167,JIWA,2021
89,32,JAWA BARAT,3203,KABUPATEN CIANJUR,60-64,LAKI-LAKI,47746,JIWA,2021
90,32,JAWA BARAT,3203,KABUPATEN CIANJUR,60-64,PEREMPUAN,41948,JIWA,2021
91,32,JAWA BARAT,3203,KABUPATEN CIANJUR,65-69,LAKI-LAKI,33285,JIWA,2021
92,32,JAWA BARAT,3203,KABUPATEN CIANJUR,65-69,PEREMPUAN,27436,JIWA,2021
93,32,JAWA BARAT,3203,KABUPATEN CIANJUR,70-74,LAKI-LAKI,18408,JIWA,2021
94,32,JAWA BARAT,3203,KABUPATEN CIANJUR,70-74,PEREMPUAN,16302,JIWA,2021
95,32,JAWA BARAT,3203,KABUPATEN CIANJUR,> 75,LAKI-LAKI,20369,JIWA,2021
96,32,JAWA BARAT,3203,KABUPATEN CIANJUR,> 75,PEREMPUAN,19671,JIWA,2021
97,32,JAWA BARAT,3204,KABUPATEN BANDUNG,00-04,LAKI-LAKI,144327,JIWA,2021
98,32,JAWA BARAT,3204,KABUPATEN BANDUNG,00-04,PEREMPUAN,135272,JIWA,2021
99,32,JAWA BARAT,3204,KABUPATEN BANDUNG,05-09,LAKI-LAKI,172969,JIWA,2021
100,32,JAWA BARAT,3204,KABUPATEN BANDUNG,05-09,PEREMPUAN,162635,JIWA,2021
101,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10-14,LAKI-LAKI,177100,JIWA,2021
102,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10-14,PEREMPUAN,166716,JIWA,2021
103,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15-19,LAKI-LAKI,148203,JIWA,2021
104,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15-19,PEREMPUAN,144792,JIWA,2021
105,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20-24,LAKI-LAKI,160020,JIWA,2021
106,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20-24,PEREMPUAN,153638,JIWA,2021
107,32,JAWA BARAT,3204,KABUPATEN BANDUNG,25-29,LAKI-LAKI,155312,JIWA,2021
108,32,JAWA BARAT,3204,KABUPATEN BANDUNG,25-29,PEREMPUAN,147289,JIWA,2021
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,30-34,LAKI-LAKI,133154,JIWA,2021
110,32,JAWA BARAT,3204,KABUPATEN BANDUNG,30-34,PEREMPUAN,126087,JIWA,2021
111,32,JAWA BARAT,3204,KABUPATEN BANDUNG,35-39,LAKI-LAKI,143944,JIWA,2021
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,35-39,PEREMPUAN,138932,JIWA,2021
113,32,JAWA BARAT,3204,KABUPATEN BANDUNG,40-44,LAKI-LAKI,141613,JIWA,2021
114,32,JAWA BARAT,3204,KABUPATEN BANDUNG,40-44,PEREMPUAN,140592,JIWA,2021
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,45-49,LAKI-LAKI,130065,JIWA,2021
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,45-49,PEREMPUAN,130741,JIWA,2021
117,32,JAWA BARAT,3204,KABUPATEN BANDUNG,50-54,LAKI-LAKI,104861,JIWA,2021
118,32,JAWA BARAT,3204,KABUPATEN BANDUNG,50-54,PEREMPUAN,101143,JIWA,2021
119,32,JAWA BARAT,3204,KABUPATEN BANDUNG,55-59,LAKI-LAKI,82832,JIWA,2021
120,32,JAWA BARAT,3204,KABUPATEN BANDUNG,55-59,PEREMPUAN,82491,JIWA,2021
121,32,JAWA BARAT,3204,KABUPATEN BANDUNG,60-64,LAKI-LAKI,61596,JIWA,2021
122,32,JAWA BARAT,3204,KABUPATEN BANDUNG,60-64,PEREMPUAN,59364,JIWA,2021
123,32,JAWA BARAT,3204,KABUPATEN BANDUNG,65-69,LAKI-LAKI,44342,JIWA,2021
124,32,JAWA BARAT,3204,KABUPATEN BANDUNG,65-69,PEREMPUAN,42350,JIWA,2021
125,32,JAWA BARAT,3204,KABUPATEN BANDUNG,70-74,LAKI-LAKI,23363,JIWA,2021
126,32,JAWA BARAT,3204,KABUPATEN BANDUNG,70-74,PEREMPUAN,23345,JIWA,2021
127,32,JAWA BARAT,3204,KABUPATEN BANDUNG,> 75,LAKI-LAKI,25660,JIWA,2021
128,32,JAWA BARAT,3204,KABUPATEN BANDUNG,> 75,PEREMPUAN,28689,JIWA,2021
129,32,JAWA BARAT,3205,KABUPATEN GARUT,00-04,LAKI-LAKI,115758,JIWA,2021
130,32,JAWA BARAT,3205,KABUPATEN GARUT,00-04,PEREMPUAN,108522,JIWA,2021
131,32,JAWA BARAT,3205,KABUPATEN GARUT,05-09,LAKI-LAKI,134680,JIWA,2021
132,32,JAWA BARAT,3205,KABUPATEN GARUT,05-09,PEREMPUAN,127014,JIWA,2021
133,32,JAWA BARAT,3205,KABUPATEN GARUT,10-14,LAKI-LAKI,133786,JIWA,2021
134,32,JAWA BARAT,3205,KABUPATEN GARUT,10-14,PEREMPUAN,126126,JIWA,2021
135,32,JAWA BARAT,3205,KABUPATEN GARUT,15-19,LAKI-LAKI,97287,JIWA,2021
136,32,JAWA BARAT,3205,KABUPATEN GARUT,15-19,PEREMPUAN,96879,JIWA,2021
137,32,JAWA BARAT,3205,KABUPATEN GARUT,20-24,LAKI-LAKI,127180,JIWA,2021
138,32,JAWA BARAT,3205,KABUPATEN GARUT,20-24,PEREMPUAN,119217,JIWA,2021
139,32,JAWA BARAT,3205,KABUPATEN GARUT,25-29,LAKI-LAKI,115557,JIWA,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,25-29,PEREMPUAN,106505,JIWA,2021
141,32,JAWA BARAT,3205,KABUPATEN GARUT,30-34,LAKI-LAKI,96714,JIWA,2021
142,32,JAWA BARAT,3205,KABUPATEN GARUT,30-34,PEREMPUAN,91686,JIWA,2021
143,32,JAWA BARAT,3205,KABUPATEN GARUT,35-39,LAKI-LAKI,99209,JIWA,2021
144,32,JAWA BARAT,3205,KABUPATEN GARUT,35-39,PEREMPUAN,96030,JIWA,2021
145,32,JAWA BARAT,3205,KABUPATEN GARUT,40-44,LAKI-LAKI,90686,JIWA,2021
146,32,JAWA BARAT,3205,KABUPATEN GARUT,40-44,PEREMPUAN,87820,JIWA,2021
147,32,JAWA BARAT,3205,KABUPATEN GARUT,45-49,LAKI-LAKI,85412,JIWA,2021
148,32,JAWA BARAT,3205,KABUPATEN GARUT,45-49,PEREMPUAN,84777,JIWA,2021
149,32,JAWA BARAT,3205,KABUPATEN GARUT,50-54,LAKI-LAKI,72197,JIWA,2021
150,32,JAWA BARAT,3205,KABUPATEN GARUT,50-54,PEREMPUAN,70555,JIWA,2021
151,32,JAWA BARAT,3205,KABUPATEN GARUT,55-59,LAKI-LAKI,58317,JIWA,2021
152,32,JAWA BARAT,3205,KABUPATEN GARUT,55-59,PEREMPUAN,59077,JIWA,2021
153,32,JAWA BARAT,3205,KABUPATEN GARUT,60-64,LAKI-LAKI,44422,JIWA,2021
154,32,JAWA BARAT,3205,KABUPATEN GARUT,60-64,PEREMPUAN,43383,JIWA,2021
155,32,JAWA BARAT,3205,KABUPATEN GARUT,65-69,LAKI-LAKI,30197,JIWA,2021
156,32,JAWA BARAT,3205,KABUPATEN GARUT,65-69,PEREMPUAN,29243,JIWA,2021
157,32,JAWA BARAT,3205,KABUPATEN GARUT,70-74,LAKI-LAKI,18601,JIWA,2021
158,32,JAWA BARAT,3205,KABUPATEN GARUT,70-74,PEREMPUAN,18569,JIWA,2021
159,32,JAWA BARAT,3205,KABUPATEN GARUT,> 75,LAKI-LAKI,21441,JIWA,2021
160,32,JAWA BARAT,3205,KABUPATEN GARUT,> 75,PEREMPUAN,21878,JIWA,2021
161,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,00-04,LAKI-LAKI,72639,JIWA,2021
162,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,00-04,PEREMPUAN,67855,JIWA,2021
163,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,05-09,LAKI-LAKI,80159,JIWA,2021
164,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,05-09,PEREMPUAN,74928,JIWA,2021
165,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10-14,LAKI-LAKI,82988,JIWA,2021
166,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10-14,PEREMPUAN,78724,JIWA,2021
167,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15-19,LAKI-LAKI,68495,JIWA,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15-19,PEREMPUAN,65905,JIWA,2021
169,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20-24,LAKI-LAKI,82416,JIWA,2021
170,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20-24,PEREMPUAN,77219,JIWA,2021
171,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25-29,LAKI-LAKI,77156,JIWA,2021
172,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25-29,PEREMPUAN,70815,JIWA,2021
173,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30-34,LAKI-LAKI,63725,JIWA,2021
174,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30-34,PEREMPUAN,61268,JIWA,2021
175,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,35-39,LAKI-LAKI,70016,JIWA,2021
176,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,35-39,PEREMPUAN,67560,JIWA,2021
177,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,40-44,LAKI-LAKI,62284,JIWA,2021
178,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,40-44,PEREMPUAN,61740,JIWA,2021
179,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,45-49,LAKI-LAKI,64871,JIWA,2021
180,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,45-49,PEREMPUAN,67174,JIWA,2021
181,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,50-54,LAKI-LAKI,60590,JIWA,2021
182,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,50-54,PEREMPUAN,59838,JIWA,2021
183,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,55-59,LAKI-LAKI,53641,JIWA,2021
184,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,55-59,PEREMPUAN,53197,JIWA,2021
185,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,60-64,LAKI-LAKI,40361,JIWA,2021
